,organisation,topic_type,module,topic,lang,channel,link,title,desc,duration,likes,comments,chan_metrics
0,a,b,x,c,y,d,e,f,g,h,1,1,good/avg/bad
1,Python,basic,Basics,Variables,english,Great Learning,https://www.youtube.com/watch?v=ZJ_dtEk5GP0,Data Types Variables And Operators In Python | Python Fundamentals | Great Learning,"Complete the Course and get your free certificate of completion for the Data Science with Python Course, Register Now: ...",0,Likes not available,Comments not available,na
2,Python,basic,Basics,Variables,english,Learning Champion,https://www.youtube.com/watch?v=AHx4HOdRJTw,Variables in Python || Python Tutorial for Beginners || Python Variables Tips and Tricks #2,Get to know more about Python variables with some tips and tricks and examples. (Theory + Code) Coding - Jupyter Notebook.,0,Likes not available,Comments not available,na
3,Python,basic,Basics,Variables,english,CodeWithHarry,https://www.youtube.com/watch?v=ORCuz7s5cCY,Variables and Data Types | Python Tutorial - Day #6,"Python is one of the most demanded programming languages in the job market. Surprisingly, it is equally easy to learn and master ...",0,Likes not available,Comments not available,na
4,Python,basic,Basics,Variables,english,Transcode,https://www.youtube.com/watch?v=ghCbURMWBD8,Coding Basics: Variables | Programming for Beginners |,Welcome to Transcode! We want to create videos that help break down Computer Science topics for beginners or anyone who ...,0,Likes not available,Comments not available,na
5,Python,basic,Basics,Variables,english,Ajay Mahar,https://www.youtube.com/watch?v=u7ZJOQFHsAA,How variables in python are different in some aspects from other programming languages. #5,"In this video, we'll be exploring the fifth topic on our list of differences between variables in python compared to other ...",0,Likes not available,Comments not available,na
6,Python,basic,Basics,Variables,english,Digital Academy,https://www.youtube.com/watch?v=ItHSuo64S3s,"VARIABLES in Python (Syntax, Create, Data Types, Variable Scope) - Python Tutorial for Beginners","Welcome back to Digital Academy, the Complete Python Development Tutorial for Beginners, which will Teach you How to ...",0,Likes not available,Comments not available,na
7,Python,basic,Basics,Variables,english,CodeWithHarry,https://www.youtube.com/watch?v=tQdaeiF4j38,Instance variables vs Class variables in Python | Python Tutorial - Day #66,Access the Playlist: https://www.youtube.com/playlist?list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg Link to the Repl: ...,0,Likes not available,Comments not available,na
8,Python,basic,Basics,Variables,english,Morpankh Code,https://www.youtube.com/watch?v=Z98ZOHQ7bB8,how to define variable in python | variable rules in python,"In this video, I will go through variables in python. How to define variable in python?, how python variables work? what are the ...",0,Likes not available,Comments not available,na
9,Python,basic,Basics,Variables,english,Sudhakar Atchala,https://www.youtube.com/watch?v=dt3xMCTAlAI,Local &amp; Global Variables in Python Programming || Scope of a variable,1. Compiler Design Playlist: https://www.youtube.com/playlist?list=PLXj4XH7LcRfC9pGMWuM6UWE3V4YZ9TZzM ...,0,Likes not available,Comments not available,na
10,Python,basic,Basics,Variables,english,CodeWithHarry,https://www.youtube.com/watch?v=RaG6GgcDt54,Local vs Global Variables in Python| Python Tutorial - Day #48,Learn the difference between local and global variables in Python with this easy-to-follow tutorial. Discover when to use each ...,0,Likes not available,Comments not available,na
11,Python,basic,Basics,Variables,english,Programming with Mosh,https://www.youtube.com/watch?v=Ctqi5Y4X-jA,How to Use Strings in Python - Python Tutorial for Beginners,How to use strings in Python. Learn Python basics with this Python tutorial for beginners. Subscribe for more Python tutorials ...,0,Likes not available,Comments not available,na
12,Python,basic,Basics,Variables,english,Programming with Mosh,https://www.youtube.com/watch?v=Y8Tko2YC5hA,What is Python? Why Python is So Popular?,What is Python? This short video explains it in 4 minutes. Python Tutorial for Beginners: https://youtu.be/_uQrJ0TkZlc Python ...,0,Likes not available,Comments not available,na
13,Python,basic,Basics,Variables,english,Skillsoft YouTube,https://www.youtube.com/watch?v=WZWwPFfQbzQ,Updating Variable Values in Python,"Your host for this session is Janani Ravi. She is a Software engineer and big data expert. In this course, you will get started with ...",0,Likes not available,Comments not available,na
14,Python,basic,Basics,Variables,english,CodeWithHarry,https://www.youtube.com/watch?v=JdG1cVFyj5A,Python in 8 Minutes (in Hindi) 🐍,"Python in 8 minutes in Hindi: In this video, we will talk about Python and the history of Python. Python is a dynamically typed object ...",0,Likes not available,Comments not available,na
15,Python,basic,Basics,Variables,english,Bro Code,https://www.youtube.com/watch?v=DB9Cq6TSTuQ,Python user input ⌨️,"Python user input tutorial #python #user #input name = input(""What is your name?: "") age = int(input(""How old are you?: "")) height ...",0,Likes not available,Comments not available,na
16,Python,basic,Basics,Variables,english,Khan Academy,https://www.youtube.com/watch?v=9LgyKiq_hU0,For Loops in Python,Basics of for loops in Python.,0,Likes not available,Comments not available,na
17,Python,basic,Basics,Variables,english,CodeWithHarry,https://www.youtube.com/watch?v=fIYVzKp0q5w,For Loops in Python | Python Tutorial - Day #17,"Python is one of the most demanded programming languages in the job market. Surprisingly, it is equally easy to learn and master ...",0,Likes not available,Comments not available,na
18,Python,basic,Basics,Variables,english,Tech With Tim,https://www.youtube.com/watch?v=UEuXQjPUwcw,Why You Shouldn&#39;t Use the Global Keyword in Python,"In this Python lesson, I'll be going over why you should never use the 'global' keyword in your code. Often times, you'll hear me ...",0,Likes not available,Comments not available,na
19,Python,basic,Basics,Variables,english,Intellipaat,https://www.youtube.com/watch?v=olH6T7iicQQ,Variables in Python | Tokens in Python | Python Tutorial | Tokenize Python,Tokenize Python | Python Variables | Tokens in Python | NLTK in Python Intellipaat Python course: ...,0,Likes not available,Comments not available,na
20,Python,basic,Basics,Variables,english,Naveen Saiyan [ ENGLISH ],https://www.youtube.com/watch?v=CzQhkVgVHO0,Variables In Python 3 : Easy Tutorial | Python Tutorial Part - 5,"In this video i will teach you about variables and data types, strings , floats , integers and booleans in python 3 2020. And this is ...",0,Likes not available,Comments not available,na
21,Python,basic,Basics,Variables,english,CodeWithHarry,https://www.youtube.com/watch?v=dyvxxJSGUsE,Functions in Python | Python Tutorial - Day #20,"Python is one of the most demanded programming languages in the job market. Surprisingly, it is equally easy to learn and master ...",0,Likes not available,Comments not available,na
