"channel_id","channel_name","channel_url"
"1","Samay Raina","https://www.youtube.com/@SamayRainaOfficial"
"2","Krish Naik","https://www.youtube.com/@krishnaik06"
"3","ddd","https://id.heroku.com/account/accept/15763718/eabcb5bd8ba2876f48adadb147936eea"
"4","wddd","https://www.youtube.com/@SamayRainaOfficial"
"5","qas","https://www.youtube.com/@SamayRainaOfficial"
"6","dsdc","https://www.youtube.com/@SamayRainaOfficial"
"7","d","e"
"8","Great Learning","https://www.youtube.com/watch?v=ZJ_dtEk5GP0"
"9","Learning Champion","https://www.youtube.com/watch?v=AHx4HOdRJTw"
"10","CodeWithHarry","https://www.youtube.com/watch?v=ORCuz7s5cCY"
"11","Transcode","https://www.youtube.com/watch?v=ghCbURMWBD8"
"12","Ajay Mahar","https://www.youtube.com/watch?v=u7ZJOQFHsAA"
"13","Digital Academy","https://www.youtube.com/watch?v=ItHSuo64S3s"
"14","Morpankh Code","https://www.youtube.com/watch?v=Z98ZOHQ7bB8"
"15","Sudhakar Atchala","https://www.youtube.com/watch?v=dt3xMCTAlAI"
"16","Programming with Mosh","https://www.youtube.com/watch?v=Ctqi5Y4X-jA"
"17","Skillsoft YouTube","https://www.youtube.com/watch?v=WZWwPFfQbzQ"
"18","Bro Code","https://www.youtube.com/watch?v=DB9Cq6TSTuQ"
"19","Khan Academy","https://www.youtube.com/watch?v=9LgyKiq_hU0"
"20","Tech With Tim","https://www.youtube.com/watch?v=UEuXQjPUwcw"
"21","Intellipaat","https://www.youtube.com/watch?v=olH6T7iicQQ"
"22","Naveen Saiyan [ ENGLISH ]","https://www.youtube.com/watch?v=CzQhkVgVHO0"
"23","365 Data Science","https://www.youtube.com/watch?v=KrToaEvDzdk"
"24","Mr. STEM EDU TV","https://www.youtube.com/watch?v=cfNIoOocmsU"
"25","Amulya's Academy","https://www.youtube.com/watch?v=wwfvaAQZGbQ"
"26","Neso Academy","https://www.youtube.com/watch?v=ZniDyolzrBw"
"27","Practical Python Solutions - By Paul Mahon","https://www.youtube.com/watch?v=Q1GLqiuu9TY"
"28","amplifyabhi coding","https://www.youtube.com/watch?v=5l-SWFlq_h8"
"29","Spoken-Tutorial IIT Bombay","https://www.youtube.com/watch?v=AhGR2uExW3o"
"30","Swapnil","https://www.youtube.com/watch?v=gQKWm4-GTQY"
"31","Tech Educate","https://www.youtube.com/watch?v=WwvQkXuC-nQ"
"32","CS Dojo","https://www.youtube.com/watch?v=8yjkWGRlUmY"
"33","Salsal Media","https://www.youtube.com/watch?v=CT_QHD_DWMk"
"34","Learning Journal","https://www.youtube.com/watch?v=oDvADOQbcbQ"
"35","choobtorials","https://www.youtube.com/watch?v=Z8vmjToqlO8"
"36","CodeBerry Programming School","https://www.youtube.com/watch?v=BLK_y8NSrIw"
"37","Coders Companion","https://www.youtube.com/watch?v=GF4t0vqNKnY"
"38","estudy.in","https://www.youtube.com/watch?v=cGl2OaCu06k"
"39","Software and Testing Training","https://www.youtube.com/watch?v=SbnRqnyTeZ4"
"40","LearnWithOqba ","https://www.youtube.com/watch?v=xuLIt6JHu0k"
"41","henryishuman","https://www.youtube.com/watch?v=Gj9CSJu1qjY"
"42","NOC16 CS11","https://www.youtube.com/watch?v=oe6iF3yzMo8"
"43","JANAK TRIVEDI","https://www.youtube.com/watch?v=2EQp1TsSg40"
"44","Jeremy Maurer","https://www.youtube.com/watch?v=kyTJixvrUUg"
"45","Python Simplified","https://www.youtube.com/watch?v=wFEC7VbWBZo"
"46","CodeHS","https://www.youtube.com/watch?v=UQn0cKvoFa8"
"47","Udemy Everything","https://www.youtube.com/watch?v=DGeoQCoh9iY"
"48","Anuj Bhaiya","https://www.youtube.com/watch?v=mZGlcukGuTo"
"49","sciekore (سائی کور)","https://www.youtube.com/watch?v=dPgDkI-FoBA"
"50","2023 - Land On Dream Job With Best Skills","https://www.youtube.com/watch?v=mhYQjqHhghY"
"51","Gate Smashers","https://www.youtube.com/watch?v=W5q0xgxmRd8"
"52","Simply Explained","https://www.youtube.com/watch?v=AQDCe585Lnc"
"53","b001","https://www.youtube.com/watch?v=KR22jigJLok"
"54","DevDungeon","https://www.youtube.com/watch?v=bfD6m8_yraM"
"55","Coding with Bintu","https://www.youtube.com/watch?v=Kwiu28wKfvU"
"56","Socratica","https://www.youtube.com/watch?v=WpF6azYAxYg"
"57","Clever Programmer","https://www.youtube.com/watch?v=0oKwRZdKvdI"
"58","The Comparison Channel","https://www.youtube.com/watch?v=Rldzskbnjgo"
"59","Infinity Learn NEET","https://www.youtube.com/watch?v=lowavG2SXsQ"
"60","Data Analytics Ireland","https://www.youtube.com/watch?v=HWEv6ai0SSQ"
"61","London App Developer","https://www.youtube.com/watch?v=_ypAw_pCOt8"
"62","LinkedIn Learning","https://www.youtube.com/watch?v=b0v7V1fT1wY"
"63","YcodeY","https://www.youtube.com/watch?v=qotQH535Ohw"
"64","Joseph Delgadillo","https://www.youtube.com/watch?v=f7FywnAh2IM"
"65","Dan Leeman","https://www.youtube.com/watch?v=qriL9Qe8pJc"
"66","WsCube Tech! ENGLISH","https://www.youtube.com/watch?v=NvCPGdrK-tk"
"67","NitMan Talks","https://www.youtube.com/watch?v=AKFfy0YiiDI"
"68","HMA Live","https://www.youtube.com/watch?v=cHYURF37hrM"
"69","Fabio Musanni - Programming Channel","https://www.youtube.com/watch?v=LXV53NKfKQI"
"70","Power Couple","https://www.youtube.com/watch?v=xF554Tlzo-c"
"71","Begin Coding Fast","https://www.youtube.com/watch?v=oeuRpsduTOQ"
"72","Leila Gharani","https://www.youtube.com/watch?v=b9WoDkPOTPs"
"73","warrenpier","https://www.youtube.com/watch?v=K_9IIkPyec4"
"74","A&E","https://www.youtube.com/watch?v=0uguJ6kpQSo"
"75","John DeNero","https://www.youtube.com/watch?v=gDsdcF1bpBs"
"76","Dr Codie","https://www.youtube.com/watch?v=trP2CCzDxN0"
"77","Leadtech","https://www.youtube.com/watch?v=59d304DXdXo"
"78","NPTEL-NOC IITM","https://www.youtube.com/watch?v=mzx74TdGYbg"
"79","Michael E Tech","https://www.youtube.com/watch?v=nkgkKxqi2ns"
"80","CodeWithRonny","https://www.youtube.com/watch?v=Ob7p_VFM4xA"
"81","Learn Upwards","https://www.youtube.com/watch?v=85jnkXL58IA"
"82","Future Programmer","https://www.youtube.com/watch?v=12ObuYK1rcw"
"83","TSInfo Technologies","https://www.youtube.com/watch?v=yStKKwVz9gA"
"84","Code World","https://www.youtube.com/watch?v=4EELI11EBcs"
"85","Ömer ÖZYILDIRIM","https://www.youtube.com/watch?v=s008LNP9aSQ"
"86","Sei Hau","https://www.youtube.com/watch?v=5RDqtF6nkUw"
"87","GrandmaCan -我阿嬤都會","https://www.youtube.com/watch?v=gM-puiT5lu8"
"88","Functional Programming in Haskell","https://www.youtube.com/watch?v=ZpFq2gYeLCs"
"89","IIT Madras - B.S. Degree Programme","https://www.youtube.com/watch?v=V7r6DB3a6_o"
"90","Keyan Studios","https://www.youtube.com/watch?v=fJsTky943S8"
"91","Web Development Tutorials","https://www.youtube.com/watch?v=uU2WM47PSVs"
"92","Language Programs","https://www.youtube.com/watch?v=4G7WrXtxRhs"
"93","Sohaib Jahangir","https://www.youtube.com/watch?v=8uNfrE40hkg"
"94","SavageCamp","https://www.youtube.com/watch?v=4uGaUXMzjcM"
"95","MaeMap","https://www.youtube.com/watch?v=-yPdGvKlyQo"
"96","Michael Kennedy","https://www.youtube.com/watch?v=TwNGHa0-6ik"
"97","DATA SCIENCE LOVERS","https://www.youtube.com/watch?v=_XoGgkY0q1k"
"98","Python with Andrew","https://www.youtube.com/watch?v=RGwEhuewzNI"
"99","Simply Coding","https://www.youtube.com/watch?v=fX64q6sYom0"
"100","Visual Studio Code","https://www.youtube.com/watch?v=B-s71n0dHUk"
"101","Tek Solutions","https://www.youtube.com/watch?v=pZu9UqFowhM"
"102","Tech2 etc","https://www.youtube.com/watch?v=95JrLWKy6-I"
"103","Rishabh Mishra","https://www.youtube.com/watch?v=AyMBPxxQRtA"
"104","Korean Romance Adda","https://www.youtube.com/watch?v=LyXzDVNNoPY"
"105","Zeeshan Usmani","https://www.youtube.com/watch?v=p-WRlrfu2J8"
"106","mCoding","https://www.youtube.com/watch?v=5vpdzRbfTIM"
"107","Brain Talks","https://www.youtube.com/watch?v=L5cPVJpkNb0"
"108","Language skills","https://www.youtube.com/watch?v=7XXR3s_fYU8"
"109","Edusoft Learning Systems - Learning Simplified","https://www.youtube.com/watch?v=Tig-uKiv48E"
"110","Khan Academy Computing","https://www.youtube.com/watch?v=UAk8Xr89hkI"
"111","Numoni","https://www.youtube.com/watch?v=72grLhOyLHU"
"112","Corey Schafer","https://www.youtube.com/watch?v=sugvnHA7ElY"
"113","Afrimax English","https://www.youtube.com/watch?v=kv-okFq0-MI"
"114","Gogetmyguru","https://www.youtube.com/watch?v=vR_THLtpsXM"
"115","Dr. Darshan Ingle","https://www.youtube.com/watch?v=zOuzD26DFWQ"
"116","Professor Gerry Jenkins","https://www.youtube.com/watch?v=xGPZ97PG14g"
"117","Josh Hug","https://www.youtube.com/watch?v=m2F-ekp_BRU"
"118","The Digital Cat","https://www.youtube.com/watch?v=1Jc41dIVOk8"
"119","Yogi Coder","https://www.youtube.com/watch?v=D3_fK4xJq9Q"
"120","Coding Is Fun","https://www.youtube.com/watch?v=WlQ7t0fC5Gs"
"121","Ahmed Hekal","https://www.youtube.com/watch?v=BYDoYQs_qu4"
"122","mr_amitdas","https://www.youtube.com/watch?v=l8pELvpWofs"
"123","TechGeekyArti","https://www.youtube.com/watch?v=X5hqPorm_lw"
"124","King of Techniques","https://www.youtube.com/watch?v=YspUGvjOobc"
"125","Fresh Computer Gyaan","https://www.youtube.com/watch?v=r8PVe4ihCAk"
"126","plus2net","https://www.youtube.com/watch?v=8myaNdeRKwk"
"127","United Top Tech","https://www.youtube.com/watch?v=9dY4ExUEgZw"
"128","Analytics Excellence","https://www.youtube.com/watch?v=T9GG2iSQSPQ"
"129","AllTech","https://www.youtube.com/watch?v=4DrCIVS5U3Y"
"130","DoxaTech","https://www.youtube.com/watch?v=3VmNuqfavF4"
"131","Automation Step by Step","https://www.youtube.com/watch?v=9t3vMi95z2w"
"132","Namma Veetu Cooku","https://www.youtube.com/watch?v=oejwg0IJWro"
"133","Talking about Computer Science","https://www.youtube.com/watch?v=KUTURT9NIok"
"134","Python 360","https://www.youtube.com/watch?v=CRBOUgyHb3M"
"135","Microsoft Developer","https://www.youtube.com/watch?v=3FcCrD7yxfQ"
"136","Mr Fugu Data Science","https://www.youtube.com/watch?v=M7DSN1yZ4MQ"
"137","MEENA SYAMKUMAR","https://www.youtube.com/watch?v=KWFFcTFc0Ng"
"138","Chuck Severance","https://www.youtube.com/watch?v=J5DjteDzgoM"
"139","Senaid Bacinovic","https://www.youtube.com/watch?v=Yb_p6VqSpTg"
"140","CodeWithSundeep","https://www.youtube.com/watch?v=BQfK1QKCHys"
"141","The AI University","https://www.youtube.com/watch?v=3G3bQKzX6to"
"142","AK Python","https://www.youtube.com/watch?v=Q7YGBwKVpds"
"143","Digital Fox","https://www.youtube.com/watch?v=jd6KSMpc9F4"
"144","Darkfall","https://www.youtube.com/watch?v=K88a1kXCY5M"
"145","WsCube Tech","https://www.youtube.com/watch?v=vhUnkaJAh9A"
"146","Deep Block","https://www.youtube.com/watch?v=kDSd6LjeEiE"
"147","pythonmiracle","https://www.youtube.com/watch?v=s8bUKmoGZMA"
"148","Smartherd","https://www.youtube.com/watch?v=VPAvB5R6d5g"
"149","codebasics","https://www.youtube.com/watch?v=P1uHDPpe_04"
"150","tech authority","https://www.youtube.com/watch?v=GTAMWVb3DkE"
"151","CODING BY AVNEET","https://www.youtube.com/watch?v=p6BzUFypEcA"
"152","Ben Eater","https://www.youtube.com/watch?v=yOyaJXpAYZQ"
"153","iTanny","https://www.youtube.com/watch?v=iZ44MR9o0ao"
"154","MrExcel.com","https://www.youtube.com/watch?v=KIhDQDtvZPg"
"155","Sundas Khalid","https://www.youtube.com/watch?v=CKsuUIBW6iU"
"156","Stefanovic","https://www.youtube.com/watch?v=AYWLZ1lES6g"
"157","The Morpheus Tutorials","https://www.youtube.com/watch?v=kxpGn6DQVB4"
"158","Tirendaz AI","https://www.youtube.com/watch?v=Yiok2hw_sAo"
"159","Data Insights School","https://www.youtube.com/watch?v=9EWLIMoUlq4"
"160","Rob Mulla","https://www.youtube.com/watch?v=VHqn7ufiilE"
"161","technologyCult","https://www.youtube.com/watch?v=NYQ-ykE-cBM"
"162","Snake InThe Python Shadow","https://www.youtube.com/watch?v=r5txwd6W1rg"
"163","DataScienceLearning","https://www.youtube.com/watch?v=cxV8jROBJJI"
"164","Machine Learning Plus - Selva","https://www.youtube.com/watch?v=MtKYXoXcwB8"
"165","Naburika","https://www.youtube.com/watch?v=YkoekXkJFY8"
"166","Ocean 215: Python Methods for Oceanography","https://www.youtube.com/watch?v=_sP8Q1Cq_a8"
"167","Data Science Bits","https://www.youtube.com/watch?v=B-tutus8LoU"
"168","An IT Professional","https://www.youtube.com/watch?v=uFVCcOhcLfc"
"169","UVA School of Data Science","https://www.youtube.com/watch?v=4PLY2B8lOQo"
"170","Koolac","https://www.youtube.com/watch?v=O_5kf_Kb684"
"171","CareerFoundry","https://www.youtube.com/watch?v=lgCNTuLBMK4"
"172","SCET Berkeley","https://www.youtube.com/watch?v=tUR7tAsPYaE"
"173","Yong Wang","https://www.youtube.com/watch?v=-gcl4z5qcJc"
